id	filename	md5	size	state
b830b77d-e5e1-462c-8ef8-3adbc3796845	TCGA-DD-AADM-01A-01-TS1.BFD06147-1675-446B-B48D-800EB504A477.svs	c7d3dc9fc019c1a22fed1363b6c78909	73854375	live
50553411-3ae0-456a-86a3-38aa00a5ae81	TCGA-CC-A8HU-01A-01-TSA.C28B3E3E-8BB0-482E-B9F8-E2F32A4A9804.svs	0cd0e042bb24aa7a3c49211e8baabfb6	181581847	live
11832352-6fdf-4e5b-a42a-40c76b02347b	TCGA-RC-A7S9-01A-01-TS1.4322E43C-4255-4D67-9A7F-9955752AFDE7.svs	4244681ec704c8d5c6f29143f181b16a	139353723	live
48070128-d0f0-40fc-b6df-a7b45a4dc87f	TCGA-BC-A10W-11A-01-TS1.cbeb048c-0334-4eb2-9cd8-b2aee00f519e.svs	88dfe82ca22bcbaab84e74c27532f0aa	132622121	live
fd1c0c87-10b0-4523-bc09-44937221f2e0	TCGA-DD-A1EI-11A-01-TSA.a87e9d5c-c643-4cb6-be09-1dcf58b27a60.svs	cf4584812df1c649c0ade12282e3a04d	95397325	live
be4da56c-c5b3-40e8-8db8-e04d1e2c9d91	TCGA-DD-A4NK-01A-01-TS1.AE37FD29-00FE-40AB-9495-17E011DF6DF3.svs	7c9c36c29c318eadd13a507922f402b7	389583205	live
ffd639b6-9a80-45b9-864a-f1323a2dcfc8	TCGA-BC-A3KG-01A-01-TS1.C61DD820-9673-4DE8-9952-4433DAE17450.svs	65292a0288c69cc5c9b4f88cb6c49031	296902137	live
ff977bc8-5090-40aa-90ad-c27be414a3e6	TCGA-RC-A6M3-01A-01-TS1.2993FFF8-77E4-40A7-8E39-061393D5AD8A.svs	1f3d873809b587a943cf708492d5863c	219185841	live
b06e5439-4531-4c21-af05-b243d31eaf36	TCGA-LG-A6GG-01A-01-TSA.E16618E8-64AB-41FB-90B5-85B846950E61.svs	34fc0b763776e7be71b4fdc415d03a13	245076377	live
070ce006-b1a0-4205-99a2-cdf0a42b22bf	TCGA-DD-AAE8-01A-01-TS1.3335344D-912C-4136-B367-590DE25E4A82.svs	8e92c8a9dd2383940cf49ba111e8e1bc	83282051	live
613065d0-7a3e-4c21-a342-119c1cd31971	TCGA-ED-A8O6-01A-01-TSA.15FB0207-C303-4DB0-AEAD-A1C927873963.svs	d877e8db35dce0bb1bf502d6d97bb962	261807249	live
14477b92-d7f9-49b9-a2e4-68d156a79a9d	TCGA-2Y-A9H4-01A-01-TS1.7A83AFC5-7433-42DC-BBE7-E7B9D0452CA8.svs	12c4b5505f58f36bb3afbaeb76c4af25	233512345	live
91c8f150-940b-40f3-bd91-5dd68dc74198	TCGA-DD-AAE3-01A-01-TS1.C4076153-A14A-4B4F-901E-06BA47804604.svs	2ac41881cedcb69b851fe9fd078071d4	132316631	live
3ca46237-80aa-49a3-aa25-c7faa07d0a67	TCGA-BC-A10R-01A-01-TS1.04d01a32-cbc3-401a-9381-b65c75e90355.svs	45f5d10ca2ffb15c178ede2ef2ab03ee	304432999	live
873a2643-9d28-4395-a181-7b653dc6749f	TCGA-2Y-A9H9-01A-02-TS2.18D7B9CF-79BB-470E-A0DC-A1306BD8DDE3.svs	b694db3fe72a55a0bedc7c0e91ce492f	86213923	live
9d07e0ec-296a-4fc2-9241-d3fff2c19233	TCGA-K7-AAU7-01A-01-TSA.0F40EC1D-0E8E-44F3-841E-E79D7C6CEEEE.svs	7eebca2bddde30c8643d9d6d53e1e5e4	397312677	live
82c4ed3f-aa90-4620-a1d0-faf514040e5d	TCGA-DD-A116-11A-01-TS1.459e75e9-20fe-4e3b-8a49-62ffe4d37991.svs	6ae639548e05d00d8f0a3eaf701ee25e	97789989	live
53db4b1b-fb5e-4002-8d5b-aa81d92bb6b2	TCGA-2Y-A9HB-01A-01-TS1.5767FBE4-1C24-43F5-B13B-D484888D5EEE.svs	0778d194f524371790529306921f05b3	342664639	live
f73686bc-de8c-4f61-a407-e2bd2d5c8f9b	TCGA-K7-A5RF-01A-01-TSA.3F11A036-324D-482C-B9B1-F1017A1D3072.svs	957a8a01afdd5ebe9234aa1c7f1c78a4	295581745	live
